mois,lum,agg,int,atm,catr,circ,nbv,prof,plan,surf,infra,situ,grav,vma,HP_ind,jour_ferie,vacances_scolaires
4.0,1.0,2.0,2.0,1.0,3.0,2.0,2,1.0,3.0,1.0,0.0,1.0,3,80.0,1,0,1
4.0,5.0,2.0,1.0,1.0,4.0,2.0,1,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,1
4.0,1.0,2.0,9.0,1.0,4.0,,1,2.0,1.0,1.0,9.0,1.0,3,30.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,9.0,1.0,2,50.0,1,0,1
4.0,2.0,2.0,1.0,1.0,4.0,,1,1.0,1.0,1.0,0.0,1.0,3,30.0,0,0,1
4.0,1.0,1.0,1.0,1.0,3.0,2.0,2,1.0,3.0,1.0,0.0,1.0,4,80.0,1,0,1
4.0,5.0,2.0,6.0,2.0,7.0,2.0,2,1.0,1.0,2.0,0.0,1.0,2,50.0,0,0,1
4.0,5.0,2.0,1.0,1.0,4.0,2.0,2,2.0,2.0,1.0,0.0,1.0,3,50.0,0,0,1
4.0,1.0,2.0,1.0,1.0,4.0,,3,2.0,3.0,1.0,0.0,1.0,3,30.0,1,0,1
4.0,2.0,2.0,1.0,1.0,3.0,2.0,2,2.0,1.0,1.0,0.0,3.0,3,50.0,0,0,1
4.0,1.0,2.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,3,50.0,1,0,1
4.0,1.0,2.0,2.0,1.0,3.0,1.0,2,1.0,1.0,1.0,5.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,1.0,4,1.0,1.0,1.0,1.0,1.0,2,70.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,1.0,4,1.0,1.0,1.0,0.0,1.0,2,70.0,1,0,1
4.0,5.0,2.0,4.0,1.0,4.0,1.0,1,4.0,3.0,1.0,1.0,1.0,2,50.0,0,0,1
4.0,1.0,2.0,1.0,1.0,4.0,2.0,3,2.0,1.0,1.0,0.0,6.0,2,50.0,1,0,1
4.0,1.0,2.0,2.0,8.0,4.0,2.0,4,1.0,1.0,1.0,0.0,6.0,2,30.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,5.0,2.0,3.0,1.0,4.0,1.0,1,1.0,1.0,1.0,0.0,4.0,2,50.0,0,0,1
4.0,1.0,2.0,2.0,1.0,4.0,3.0,5,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,1.0,2,2.0,1.0,1.0,0.0,6.0,2,30.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,1.0,1,2.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,2.0,1.0,4.0,2.0,2,1.0,1.0,1.0,5.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,2.0,8.0,4.0,1.0,1,1.0,1.0,1.0,0.0,1.0,2,30.0,1,0,1
4.0,1.0,2.0,7.0,8.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,5.0,2.0,7.0,1.0,4.0,1.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,1
4.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,30.0,1,0,1
4.0,5.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,1
4.0,1.0,2.0,1.0,1.0,4.0,,1,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,2.0,8.0,3.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,1
4.0,1.0,2.0,1.0,8.0,3.0,2.0,5,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,,1,1.0,1.0,1.0,9.0,1.0,2,30.0,1,0,1
4.0,1.0,2.0,1.0,1.0,5.0,,1,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,2.0,1.0,4.0,1.0,2,1.0,2.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,2.0,3,1.0,1.0,1.0,9.0,4.0,3,30.0,1,0,1
4.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,3.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,3.0,2.0,1.0,1.0,3.0,1.0,3,2.0,3.0,1.0,3.0,3.0,2,50.0,0,0,1
4.0,1.0,2.0,1.0,1.0,3.0,,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,1.0,2.0,1.0,1.0,4.0,1.0,1,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
1.0,5.0,2.0,3.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
4.0,1.0,2.0,1.0,1.0,4.0,1.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,1
4.0,5.0,2.0,6.0,1.0,3.0,2.0,2,1.0,2.0,1.0,5.0,1.0,3,50.0,0,0,1
4.0,1.0,1.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,70.0,1,0,1
4.0,5.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,1
4.0,1.0,1.0,3.0,5.0,3.0,2.0,2,2.0,1.0,1.0,0.0,1.0,3,70.0,1,0,1
4.0,1.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,6.0,1.0,2,30.0,1,0,1
4.0,1.0,2.0,1.0,1.0,7.0,2.0,2,1.0,2.0,1.0,0.0,1.0,3,70.0,1,0,1
4.0,1.0,1.0,2.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,80.0,1,0,1
4.0,3.0,1.0,2.0,1.0,3.0,2.0,2,2.0,1.0,1.0,0.0,1.0,3,80.0,0,0,1
4.0,1.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,4,70.0,1,0,1
4.0,1.0,1.0,1.0,1.0,4.0,2.0,2,1.0,3.0,9.0,0.0,1.0,3,80.0,1,0,1
4.0,3.0,1.0,1.0,1.0,3.0,2.0,2,1.0,1.0,6.0,0.0,8.0,3,90.0,0,0,1
4.0,1.0,1.0,1.0,1.0,3.0,2.0,2,4.0,3.0,1.0,0.0,1.0,4,80.0,1,0,1
4.0,1.0,2.0,3.0,1.0,3.0,2.0,2,2.0,1.0,1.0,0.0,1.0,4,50.0,1,0,1
4.0,1.0,1.0,1.0,1.0,3.0,2.0,2,1.0,4.0,1.0,0.0,1.0,2,80.0,1,0,1
4.0,3.0,1.0,6.0,1.0,3.0,2.0,2,1.0,3.0,1.0,0.0,8.0,4,80.0,0,0,1
4.0,1.0,1.0,2.0,1.0,3.0,2.0,2,4.0,1.0,1.0,0.0,1.0,3,80.0,1,0,1
4.0,1.0,1.0,2.0,1.0,3.0,2.0,2,1.0,1.0,1.0,5.0,1.0,2,80.0,1,0,1
4.0,1.0,1.0,1.0,1.0,3.0,2.0,2,1.0,3.0,1.0,0.0,8.0,3,80.0,1,0,1
4.0,1.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,9.0,1.0,3,50.0,1,0,1
4.0,1.0,1.0,2.0,1.0,3.0,2.0,2,1.0,1.0,1.0,5.0,1.0,3,80.0,1,0,1
3.0,1.0,1.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,80.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
5.0,1.0,2.0,9.0,1.0,6.0,,0,1.0,1.0,1.0,9.0,8.0,2,10.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,30.0,1,0,0
6.0,1.0,1.0,2.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,80.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,2.0,2,50.0,1,0,0
6.0,3.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,1.0,1,2.0,2.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,3.0,6,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,1.0,1.0,4.0,1.0,1,2.0,3.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,1.0,2,1.0,1.0,1.0,0.0,1.0,2,30.0,1,0,0
6.0,1.0,1.0,2.0,1.0,3.0,2.0,2,1.0,1.0,1.0,5.0,1.0,3,70.0,1,0,0
5.0,1.0,2.0,1.0,1.0,1.0,1.0,3,2.0,1.0,1.0,0.0,1.0,2,90.0,1,0,0
6.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,0.0,1.0,3,110.0,1,0,0
6.0,1.0,1.0,1.0,1.0,1.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,90.0,1,0,0
6.0,1.0,1.0,1.0,1.0,2.0,3.0,4,3.0,2.0,2.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,1.0,1.0,1.0,3.0,6,1.0,2.0,1.0,1.0,1.0,2,90.0,1,0,0
5.0,1.0,1.0,1.0,1.0,1.0,3.0,8,1.0,1.0,1.0,1.0,1.0,2,110.0,1,0,0
6.0,1.0,1.0,1.0,1.0,1.0,3.0,3,1.0,1.0,1.0,0.0,1.0,2,110.0,1,0,0
6.0,1.0,2.0,4.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,1.0,1.0,2.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,90.0,1,0,0
6.0,1.0,2.0,2.0,1.0,4.0,2.0,2,2.0,1.0,1.0,5.0,1.0,3,30.0,0,0,0
6.0,1.0,2.0,7.0,1.0,7.0,2.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,5.0,2.0,2.0,1.0,4.0,2.0,2,1.0,1.0,1.0,5.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,3.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,3,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,2.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,5.0,2.0,3.0,1.0,4.0,2.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,4.0,2.0,1.0,1.0,4.0,2.0,4,1.0,1.0,1.0,8.0,1.0,3,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,1.0,3,1.0,2.0,1.0,5.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,7.0,1.0,3.0,1.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,5.0,2.0,3.0,1.0,3.0,2.0,2,2.0,4.0,9.0,8.0,1.0,2,50.0,0,0,0
4.0,3.0,1.0,1.0,1.0,1.0,3.0,10,1.0,1.0,1.0,0.0,1.0,4,70.0,0,0,0
6.0,5.0,2.0,3.0,2.0,4.0,,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,5.0,2.0,3.0,1.0,4.0,1.0,2,1.0,1.0,1.0,0.0,1.0,2,30.0,0,0,0
6.0,1.0,2.0,4.0,1.0,4.0,2.0,1,2.0,4.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,2.0,2.0,1.0,1.0,2.0,1.0,1,2.0,1.0,1.0,9.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,0,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,3.0,1.0,1.0,2.0,2.0,1.0,2,1.0,1.0,2.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,2.0,2.0,2.0,2,1.0,1.0,2.0,0.0,1.0,2,50.0,1,0,0
6.0,5.0,2.0,2.0,1.0,4.0,1.0,1,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,5.0,2.0,3.0,8.0,3.0,2.0,2,2.0,3.0,2.0,5.0,1.0,2,50.0,0,0,0
6.0,1.0,1.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,1,1.0,2.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,2.0,2.0,1.0,8.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,5.0,2.0,3.0,1.0,7.0,4.0,8,1.0,1.0,1.0,5.0,1.0,2,70.0,0,0,0
6.0,2.0,2.0,1.0,1.0,7.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,30.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,2.0,3,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,1.0,3,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,9.0,2.0,0,2.0,1.0,1.0,4.0,1.0,3,30.0,1,0,0
6.0,5.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,3.0,1.0,1.0,2.0,3.0,3.0,4,1.0,1.0,2.0,0.0,1.0,4,60.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,1,2.0,2.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,2.0,2.0,2.0,1.0,4.0,2.0,3,3.0,1.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,2.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,2.0,1.0,3,3.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,3.0,1.0,1.0,1.0,2.0,1.0,2,1.0,1.0,1.0,0.0,1.0,3,90.0,0,0,0
6.0,1.0,1.0,6.0,1.0,2.0,,2,1.0,3.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,2.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,3.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,3.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,3.0,1.0,6.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,7.0,4.0,2.0,3,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,2.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,70.0,1,0,0
6.0,3.0,2.0,9.0,1.0,6.0,,1,1.0,1.0,1.0,9.0,1.0,3,15.0,0,0,0
6.0,1.0,2.0,1.0,7.0,3.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,9.0,3.0,2.0,2,1.0,1.0,1.0,5.0,1.0,4,50.0,1,0,0
6.0,1.0,1.0,1.0,1.0,2.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,80.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,1.0,4,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,5.0,2.0,2.0,1.0,4.0,4.0,3,2.0,1.0,1.0,0.0,1.0,3,30.0,0,0,0
6.0,1.0,1.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,5.0,2.0,2.0,1.0,4.0,1.0,3,2.0,1.0,1.0,5.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,7.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,2.0,1.0,4.0,2.0,2,1.0,3.0,1.0,3.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,6.0,,0,1.0,1.0,1.0,9.0,1.0,3,5.0,0,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,2.0,1.0,0.0,3.0,2,50.0,0,0,0
6.0,1.0,2.0,3.0,1.0,4.0,,1,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,4.0,1.0,3.0,2.0,2,1.0,3.0,1.0,3.0,1.0,3,80.0,1,0,0
6.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1.0,1.0,1.0,3.0,1.0,4,70.0,1,0,0
6.0,1.0,1.0,1.0,1.0,3.0,3.0,6,1.0,1.0,1.0,2.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,1.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,6.0,1.0,2.0,3.0,5,1.0,2.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,2.0,2,30.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,3.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,80.0,1,0,0
6.0,1.0,1.0,3.0,1.0,3.0,2.0,2,2.0,1.0,1.0,0.0,1.0,2,70.0,1,0,0
6.0,5.0,2.0,1.0,1.0,4.0,1.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,3.0,2.0,1.0,1.0,3.0,2.0,3,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,5.0,2.0,9.0,1.0,4.0,1.0,2,1.0,1.0,1.0,0.0,3.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,2.0,1.0,3.0,2.0,3,1.0,1.0,1.0,0.0,1.0,4,50.0,1,0,0
6.0,1.0,2.0,6.0,7.0,4.0,2.0,2,1.0,1.0,1.0,5.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,3.0,5,2.0,1.0,1.0,4.0,1.0,3,40.0,1,0,0
6.0,5.0,2.0,9.0,1.0,4.0,,1,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,3.0,6,1.0,1.0,1.0,4.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,3.0,4,1.0,1.0,1.0,0.0,1.0,4,50.0,1,0,0
6.0,1.0,1.0,3.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,80.0,1,0,0
6.0,4.0,1.0,1.0,1.0,3.0,3.0,4,1.0,1.0,1.0,0.0,1.0,4,110.0,0,0,0
6.0,1.0,2.0,2.0,1.0,4.0,3.0,3,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,9.0,1.0,4.0,2.0,3,1.0,2.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,7.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,5.0,2.0,1.0,1.0,4.0,2.0,2,1.0,2.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,3.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,9.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,2.0,7.0,7.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,6.0,1.0,3.0,1.0,2,1.0,2.0,1.0,0.0,2.0,2,50.0,0,0,0
6.0,1.0,1.0,1.0,7.0,3.0,,2,1.0,3.0,1.0,0.0,1.0,3,80.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,2.0,3,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,1.0,1,1.0,1.0,1.0,0.0,1.0,2,30.0,1,0,0
6.0,1.0,2.0,6.0,1.0,4.0,2.0,2,1.0,1.0,1.0,5.0,1.0,2,30.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,1.0,1,1.0,1.0,1.0,0.0,1.0,2,30.0,1,0,0
6.0,1.0,2.0,1.0,1.0,6.0,, -1,1.0,1.0,1.0,0.0,1.0,2,30.0,1,0,0
6.0,1.0,2.0,3.0,2.0,4.0,,2,1.0,3.0,2.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,5.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,4,50.0,0,0,0
6.0,1.0,2.0,2.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,3.0,2.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,2.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,0,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,4.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,2.0,2.0,1.0,1.0,4.0,1.0,1,1.0,1.0,1.0,0.0,4.0,3,30.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,5.0,2.0,3.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,2.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,9.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
5.0,1.0,2.0,6.0,1.0,7.0,2.0,2,1.0,1.0,1.0,5.0,1.0,2,70.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,2.0,1.0,4.0,2.0,4,2.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,1.0,1.0,4.0,1.0,1,2.0,1.0,1.0,0.0,1.0,3,50.0,0,0,0
6.0,1.0,2.0,1.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,3,50.0,1,0,0
6.0,1.0,2.0,3.0,1.0,4.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,9.0,1.0,2.0,3.0,4,2.0,1.0,1.0,0.0,1.0,2,90.0,1,0,0
6.0,1.0,1.0,1.0,1.0,2.0,3.0,4,1.0,1.0,1.0,0.0,1.0,2,90.0,1,0,0
6.0,1.0,2.0,1.0,7.0,4.0,,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,2.0,2.0,1.0,4.0,,0,2.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,3.0,1.0,3.0,2.0,2,1.0,1.0,1.0,0.0,1.0,2,80.0,1,0,0
6.0,5.0,2.0,1.0,1.0,4.0,2.0,2,2.0,3.0,1.0,0.0,1.0,3,30.0,0,0,0
6.0,1.0,1.0,6.0,1.0,3.0,1.0,2,1.0,1.0,1.0,0.0,1.0,2,50.0,1,0,0
6.0,1.0,1.0,1.0,1.0,2.0,3.0,1,1.0,3.0,1.0,2.0,1.0,2,50.0,1,0,0
